LGA CODE (ABS),LGA NAME (CRIME STATS OFFICE),LGA NAME (CP DATABASE),LGA NAME (ABS),REGION,FUNCTIONAL ECONOMIC AREA,LGA TYPE,PARTNERSHIP NAME,SECTION OF STATE,LGA TYPE (ABS),LGA DIVISION,DHHS AREA
24600,Melbourne,Melbourne,Melbourne (C),Melbourne,Inner Melbourne,Metropolitan Melbourne (Inner-Middle),Inner,Metropolitan Melbourne,Cities,West Division,Western Melbourne
24650,Melton,Melton,Melton (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Growth Areas),Western,Metropolitan Melbourne,Cities,West Division,Brimbank Melton
24780,Mildura,Mildura,Mildura (RC),Loddon Mallee North,Mildura LMN,Regional Cities,Mallee,Regional Victoria,Rural Cities,North Division,Mallee
24850,Mitchell,Mitchell,Mitchell (S),Hume,Lower Hume,Melbourne Peri-urban,Goulburn,Regional Victoria,Shires,East Division,Goulburn
24900,Moira,Moira,Moira (S),Hume,Goulburn Valley,Rural Victoria,Goulburn,Regional Victoria,Shires,East Division,Goulburn
24970,Monash,Monash,Monash (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Eastern,Metropolitan Melbourne,Cities,East Division,Inner Eastern Melbourne
25060,Moonee Valley,Moonee Valley,Moonee Valley (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),Western,Metropolitan Melbourne,Cities,West Division,Western Melbourne
25150,Moorabool,Moorabool,Moorabool (S),Central Highlands,Moorabool,Melbourne Peri-urban,Central Highlands,Regional Victoria,Shires,West Division,Central Highlands
25250,Moreland,Moreland,Moreland (C),Melbourne,North Western Melbourne,Metropolitan Melbourne (Inner-Middle),Northern Metro,Metropolitan Melbourne,Cities,North Division,Hume Moreland
25340,Mornington Peninsula,Mornington Peninsula,Mornington Peninsula (S),Melbourne,Mornington Peninsula,Metropolitan Melbourne (Inner-Middle),Southern,Metropolitan Melbourne,Shires,South Division,Bayside Peninsula
25430,Mount Alexander,Mount Alexander,Mount Alexander (S),Loddon Mallee South,Bendigo and Surrounds,Rural Victoria,Loddon Campaspe,Regional Victoria,Shires,North Division,Loddon
25490,Moyne,Moyne,Moyne (S),Great South Coast,Warrnambool and Surrounds,Rural Victoria,Great South Coast,Regional Victoria,Shires,West Division,Western District
25620,Murrindindi,Murrindindi,Murrindindi (S),Hume,Lower Hume,Melbourne Peri-urban,Goulburn,Regional Victoria,Shires,East Division,Goulburn
25710,Nillumbik,Nillumbik,Nillumbik (S),Melbourne,North Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Northern Metro,Metropolitan Melbourne,Shires,North Division,North Eastern Melbourne
